flow_number,action,packets_length_total
0,open facebook,"[407 -407 , 90 , -90 ]"
1,open facebook,"[409 -409 , 90 , -90 ]"
2,open facebook,"[216 -216 , 74 , -74 , 179 , -179 ]"
3,open facebook,"[216 -216 , 74 , -74 , 179 , -179 ]"
4,open facebook,"[216 -216 , 74 , -74 , 179 , -179 ]"
9,writing search,"[405 -405 , 90 , -90 ]"
9,user profile selection,"[1323 -1323 , 31 , -31 ]"
10,writing search,"[44 -44 , 542 , -542 , 35 , -35 , 1358 , -1358 , 116 , -116 ]"
11,user profile selection,"[308 -308 , 44 , -44 , 33 , -33 , 33 , -33 , 44 , -44 , 33 , -33 , 33 , -33 ]"
11,user photos selection,"[735 -735 ]"
12,user profile selection,"[33 -33 , 52 , -52 , 84 , -84 , 33 , -33 , 52 , -52 , 313 , -313 , 33 , -33 , 57 , -57 ]"
12,user photos selection,"[33 -33 , 1358 , -1358 , 338 , -338 ]"
13,writing message,"[407 -407 , 90 , -90 , 1817 , -1817 , 31 , -31 , 2649 , -2649 , 507 , -507 , 310 , -310 , 400 , -400 , 592 , -592 ]"
13,menu news selection,"[1620 -1620 , 927 , -927 , 781 , -781 , 2716 , -2716 , 2716 , -2716 , 2716 , -2716 , 2716 , -2716 , 1358 , -1358 , 2716 , -2716 , 2716 , -2716 , 2716 , -2716 , 2716 , -2716 , 2716 , -2716 , 591 , -591 , 404 , -404 ]"
13,back to news,"[516 -516 ]"
13,facebook in background for 200 sec,"[937 -937 ]"
14,writing message,"[216 -216 , 74 , -74 , 179 , -179 , 44 , -44 , 35 , -35 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 299 , -299 , 1358 , -1358 , 236 , -236 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 374 , -374 , 1358 , -1358 , 164 , -164 , 1358 , -1358 , 1358 , -1358 , 1013 , -1013 , 1358 , -1358 , 164 , -164 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1110 , -1110 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 27 , -27 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1278 , -1278 , 1358 , -1358 , 1358 , -1358 ]"
17,facebook in background for 200 sec,"[35 -35 , 314 , -314 , 35 , -35 , 291 , -291 , 35 , -35 , 35 , -35 , 313 , -313 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 1358 , -1358 , 852 , -852 ]"
18,back to news,"[1871 -1871 ]"
18,facebook in background for 200 sec,"[828 -828 , 1780 , -1780 ]"
19,facebook in background for 200 sec,"[33 -33 , 33 , -33 , 33 , -33 , 33 , -33 ]"
22,facebook in background for 200 sec,"[347 -347 , 320 , -320 , 33 , -33 , 33 , -33 , 462 , -462 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 468 , -468 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 33 , -33 , 50 , -50 , 50 , -50 , 50 , -50 , 50 , -50 , 726 , -726 , 50 , -50 ]"
23,facebook in background for 200 sec,"[33 -33 , 33 , -33 ]"
24,facebook in background for 200 sec,"[39 -39 ]"
25,facebook in background for 200 sec,"[39 -39 ]"
26,facebook in background for 200 sec,"[39 -39 ]"
27,facebook in background for 200 sec,"[39 -39 ]"
28,facebook in background for 200 sec,"[39 -39 ]"
29,facebook in background for 200 sec,"[39 -39 ]"
30,facebook in background for 200 sec,"[39 -39 ]"
31,facebook in background for 200 sec,"[39 -39 ]"
32,facebook in background for 200 sec,"[39 -39 ]"
33,facebook in background for 200 sec,"[68 -68 ]"
34,facebook in background for 200 sec,"[33 -33 ]"
