flow_number,action,packets_length_total
495,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
496,open facebook,"[0, 0, 0, 0, 0, 74, 0, 0, 0]"
497,open facebook,"[0, 0, 0, 0, 0, 927, 0, 0, 74, 0]"
498,open facebook,"[0, 0, 0, 0, 74, 0, 0, 0, 0]"
499,writing search,"[1126, 0, 35, 0, 421, 0, 1358, 0, 202, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 1358, 0, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358, 0, 1358]"
500,writing search,"[323, 0, 0, -202, 0, -72, -40, -398, 0, 0, 0, 33, 0, 0, 0, -44, 0, 0, 52, 84, 0, 0, -33, 33, -44, 0, 0, 0, 0, 0, 314, 33, -33, 0, 0, 0]"
502,user profile selection,"[1358, 0, 338, 0]"
503,menu news selection,"[1209, 0, 96, 1112, 0, 41, 0, 0]"
503,back to news,"[35, 1358, 0, 0]"
503,facebook in background for 200 sec,"[-2716]"
505,facebook in background for 200 sec,"[1754, 0, 0, 0, 0, -392, 0, -1358, 0, -1358, 0, -1358, 0, 0, -1358, 0, -1358, -1358, 0, 0, -1358, -1358, 0, -1358, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0, -1358, -1358, 0, -1358, 0, 0, 0, -1358, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -1358, 0, -479, 0]"
506,facebook in background for 200 sec,"[-50, 0, -50, 0, -50, 0, -50, 0, 0]"
507,back to news,"[35, -230, -229, 159, 1358, 0, 213, 1358, 0, 64, 35, 160, 0, 972, 1358, 64, 0, 0, 35, 0, 166, 0, 1358, 0, 391, 0, 1358, 0, 64, 0, 35, 0, 165, 1358, 648, 1358, 64, 0, 0, 35, 185, 1358, 0, 0, 286, 1358, 64, 0, 273, 0, 1358, 728, 0, 1358, 64, 0, 35, 0, 0, 0]"
508,back to news,"[0, 0, 0, -1582, -229, -231, -228, -229, -231, 0, 0, 0, 80, 0, 0, 0, 0, 766, 0, 1880, 0, -31, 1358, 87, 0, 586, 0, 0, 0, 0, 0, 64, 0, 23, 0, 0, 1358, 0, 375, 0, 1358, 0, 64, 0, 23, 0, 1358, 0, 296, 0, 1358, 64, 0, 0, 160, 0, 1358, 0, 90, 1358, 0, 0, 64, 0, 161, 0, 1202, 0, 1358, 64, 0, 233, 1358, 0, 109, 1358, 0, 64, 160, 1184, 0, 1358, 64, 0, 230, 1358, 0, 844, 1358, 64, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
514,facebook in background for 200 sec,"[-39, 0, 0, 0, 0]"
515,facebook in background for 200 sec,"[39, 0, 0, 0, 0]"
516,facebook in background for 200 sec,"[-39, 0, 0, 0]"
517,facebook in background for 200 sec,"[-50, 0, -727, 0, 33, 0, 0]"
518,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
519,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0]"
520,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
521,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
522,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
523,facebook in background for 200 sec,"[-39, 0, 0, 0, 0, 0, 0, 0, 0]"
524,facebook in background for 200 sec,"[-68, 0, 0]"
